state_name,state_alpha,state_fips_code,county_code,agg_level_desc,year,corn,soybeans,t,t2,dtrnd_c,dtrnd_s,combined,a_rate
US TOTAL,US,99,,NATIONAL,1972,97,27.8,3,9,200.87439046861797,50.65906218207836,124.8,0.07657649969705016
US TOTAL,US,99,,NATIONAL,1973,91.3,27.8,4,16,185.66696060407585,50.15970727519808,119.1,-0.046748979574073424
US TOTAL,US,99,,NATIONAL,1974,71.9,23.7,5,25,143.60525537031808,42.32991734110152,95.60000000000001,-0.21979065630389805
US TOTAL,US,99,,NATIONAL,1975,86.4,28.9,6,36,169.5111719982174,51.0834877802582,115.30000000000001,0.18736460721765713
US TOTAL,US,99,,NATIONAL,1976,88,26.1,7,49,169.6191704044068,45.646269624733,114.1,-0.010462170406983162
US TOTAL,US,99,,NATIONAL,1977,90.8,30.6,8,64,171.96867206175025,52.93835690264391,121.4,0.06201562175736797
US TOTAL,US,99,,NATIONAL,1978,101,29.4,9,81,187.98303984925437,50.302139013399724,130.4,0.07151577086715477
US TOTAL,US,99,,NATIONAL,1979,109.5,32.1,10,100,200.31194525979808,54.30549139692675,141.6,0.08239953176706649
US TOTAL,US,99,,NATIONAL,1980,91,26.5,11,121,163.64029591822103,44.319750681070076,117.5,-0.18656784767540557
US TOTAL,US,99,,NATIONAL,1981,108.9,30.1,12,144,192.52745374159335,49.75621822192769,139,0.16803559954647795
US TOTAL,US,99,,NATIONAL,1982,113.2,31.5,13,169,196.78230099872204,51.456603414772054,144.7,0.0401887005067465
US TOTAL,US,99,,NATIONAL,1983,81.1,26.2,14,196,138.64151801392435,42.286847034356285,107.3,-0.2990339840007854
US TOTAL,US,99,,NATIONAL,1984,106.7,28.1,15,225,179.40183446582697,44.80340176569601,134.8,0.22816354884155388
US TOTAL,US,99,,NATIONAL,1985,118,34.1,16,256,195.15999772957403,53.70198029779195,152.1,0.12074600078704023
US TOTAL,US,99,,NATIONAL,1986,119.4,33.3,17,289,194.2741270389239,51.78993132321975,152.7,0.003937012959339903
US TOTAL,US,99,,NATIONAL,1987,119.8,33.9,18,324,191.78913458907246,52.05988166923358,153.7,0.006527438319963608
US TOTAL,US,99,,NATIONAL,1988,84.6,27,19,361,133.2747869325149,40.93643519393117,111.6,-0.3200816005973399
US TOTAL,US,99,,NATIONAL,1989,116.3,32.3,20,400,180.31046676043056,48.34316677108805,148.6,0.2863370823364484
US TOTAL,US,99,,NATIONAL,1990,118.5,34.1,21,441,180.8321061539324,50.375558615586016,152.6,0.026561986566697726
US TOTAL,US,99,,NATIONAL,1991,108.6,34.2,22,484,163.13780617158164,49.8625088253351,142.8,-0.06637506894487188
US TOTAL,US,99,,NATIONAL,1992,131.5,37.6,23,529,194.47736155766836,54.0967175102984,169.1,0.16904520599905037
US TOTAL,US,99,,NATIONAL,1993,100.7,32.6,24,576,146.6362926724088,46.27975926424494,133.3,-0.2378880287198717
US TOTAL,US,99,,NATIONAL,1994,138.6,41.4,25,625,198.74372422725068,57.985900034592134,180,0.3003546237055472
US TOTAL,US,99,,NATIONAL,1995,113.5,35.3,26,676,160.28506279799396,48.77600018922203,148.8,-0.19035372849121845
US TOTAL,US,99,,NATIONAL,1996,127.1,37.6,27,729,176.79007039344734,51.24980411398569,164.7,0.10152251478460261
US TOTAL,US,99,,NATIONAL,1997,126.7,38.9,28,784,173.60072396689364,52.29893790983263,165.6,0.005449604767564509
US TOTAL,US,99,,NATIONAL,1998,134.4,38.9,29,841,181.4193505467316,51.58224738379144,173.3,0.045448954770401784
US TOTAL,US,99,,NATIONAL,1999,133.8,36.6,30,900,177.94920928744563,47.86411327819865,170.4,-0.016875582326345118
US TOTAL,US,99,,NATIONAL,2e3,136.9,38.1,31,961,179.40914309294465,49.136631950031706,175,0.02663735952829871
US TOTAL,US,99,,NATIONAL,2001,138.2,39.6,32,1024,178.48235791454232,50.36194797651417,177.79999999999998,0.015873349156289684
US TOTAL,US,99,,NATIONAL,2002,129.3,38,33,1089,164.57969685370338,47.653573763828504,167.3,-0.06087071508702557
US TOTAL,US,99,,NATIONAL,2003,142.2,33.9,34,1156,178.40687085676726,41.917545191178924,176.1,0.05126340750938141
US TOTAL,US,99,,NATIONAL,2004,160.3,42.2,35,1225,198.25444625210946,51.44872332825981,202.5,0.13968787104443425
US TOTAL,US,99,,NATIONAL,2005,147.9,43.1,36,1296,180.3340110556616,51.80708183796897,191,-0.05846645849996435
US TOTAL,US,99,,NATIONAL,2006,149.1,42.9,37,1369,179.2459003983531,50.839871773521665,192,0.005221943981151611
US TOTAL,US,99,,NATIONAL,2007,150.7,41.7,38,1444,178.64401823226302,48.719845910286786,192.39999999999998,0.0020811662038244805
US TOTAL,US,99,,NATIONAL,2008,153.3,39.7,39,1521,179.20990209824552,45.72694704401619,193,0.003113650673279622
US TOTAL,US,99,,NATIONAL,2009,164.4,44,40,1600,189.5425587673787,49.961683189278446,208.4,0.0767691209743262
US TOTAL,US,99,,NATIONAL,2010,152.6,43.5,41,1681,173.53396038973077,48.69325215741869,196.1,-0.06083457667691139
US TOTAL,US,99,,NATIONAL,2011,146.8,42,42,1764,164.67226253188653,46.34660922632316,188.8,-0.03793647949089962
US TOTAL,US,99,,NATIONAL,2012,123.1,40,43,1849,136.22469298809608,43.512428682043236,163.1,-0.14632474408443308
US TOTAL,US,99,,NATIONAL,2013,158.1,44,44,1936,172.61220061814225,47.183223502340006,202.1,0.21439911478260765
US TOTAL,US,99,,NATIONAL,2014,171,47.5,45,2025,184.21098761322227,50.21210832177938,218.5,0.07802339012606918
US TOTAL,US,99,,NATIONAL,2015,168.4,48,46,2116,179.01062290579839,50.01907288092498,216.4,-0.009657467563317645
US TOTAL,US,99,,NATIONAL,2016,174.6,51.9,47,2209,183.16196065539233,53.31411597529481,226.5,0.045616397950762
US TOTAL,US,99,,NATIONAL,2017,176.6,49.3,48,2304,182.84060435562188,49.92342125914596,225.89999999999998,-0.0026525214491313065
US TOTAL,US,99,,NATIONAL,2018,176.4,51.6,49,2401,180.26340233517993,51.510167113449874,228,0.009253205480483473
